URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,60,25,0.41176470103806234,0.07430069923575112,11.129411764705882,0.5052854122621564,4.653878870787215,11.129411764705882,478,946,2.738066095471236,18,7.292811839323467
321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,47,25,0.30555555131172846,0.08294930866019665,11.864406779661017,0.5042857142857143,4.947476997578693,11.864406779661017,353,700,2.7401960784313726,17,7.27
2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,30,15,0.3333333259259261,0.07109004728105837,10.04,0.4800796812749004,4.20803187250996,10.04,241,502,2.743073047858942,9,6.99003984063745
4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,40,16,0.42857142091836753,0.09982174670263504,11.55,0.48484848484848486,4.813939393939394,11.55,224,462,2.6492537313432836,2,7.0519480519480515
432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,78,25,0.5145631018003582,0.08933217685227043,10.808988764044944,0.6424116424116424,4.580560162582635,10.808988764044944,618,962,3.2054483541430194,4,8.075883575883577
2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,70,42,0.24999999776785717,0.08302446250331766,12.488888888888889,0.5151245551601423,5.201605377619613,12.488888888888889,579,1124,2.7846460618145565,8,7.1788256227758005
3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,49,63,-0.12499999888392858,0.08028673829370125,10.365384615384615,0.4842300556586271,4.339845868417297,10.365384615384615,522,1078,2.6328852119958635,2,7.1855287569573285
3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,40,23,0.26984126555807514,0.07438016520144018,12.169491525423728,0.596100278551532,5.106236721590104,12.169491525423728,428,718,2.996908809891808,11,7.8844011142061285
4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,34,30,0.062499999023437516,0.06918918911439007,9.688311688311689,0.49865951742627346,4.074788482295186,9.688311688311689,372,746,2.778294573643411,7,7.084450402144772
4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,61,26,0.402298845950588,0.0937499998989763,10.075,0.5372208436724566,4.244888337468982,10.075,433,806,2.8173913043478263,22,7.408188585607941
